id,result,team_key,position,champion_id,user_name,kda
1,0,0,1,57,전민혁-KR1,1.67
1,0,0,4,110,읽씹맨-KR1,0.54
1,1,1,1,266,BRO Kangin-KR1,3.0
1,1,1,5,22,Rooster-2005,10.0
1,0,0,5,51,Loopy-1813,1.11
1,1,1,3,84,livinli-KR1,2.14
1,1,1,4,202,괴물쥐-고라파덕,16.5
1,0,0,3,3,K love Jiao-KR1,1.11
1,1,1,2,104,learn1-KR1,7.0
1,0,0,2,203,Gryffinn-G2006,1.67
2,1,1,4,18,wasdqewasd-KR1,3.8
2,0,0,4,202,남지패기-KR1,4.0
2,1,1,1,57,전민혁-KR1,1.6
2,0,0,1,266,Rooster-2005,2.2
2,0,0,5,432,Loopy-1813,2.0
2,1,1,3,134,livinli-KR1,4.0
2,1,1,5,22,실바니안두더지-1234,2.71
2,0,0,3,517,gaubeo202-KR1,1.78
2,1,1,2,120,learn1-KR1,4.5
2,0,0,2,163,큰꿈의선생님-KR1,0.58
3,1,0,4,110,남지패기-KR1,3.75
3,1,0,1,57,전민혁-KR1,5.67
3,0,1,2,234,magnet-3676,1.12
3,1,0,5,22,Ego BattIe-KR1,7.33
3,1,0,3,61,woyaoshangzuanyi-KR1,4.67
3,0,1,3,268,livinli-KR1,0.5
3,0,1,1,77,오브크-KR1,1.14
3,0,1,5,888,jhqdyqkd-KR1,2.4
3,1,0,2,203,Gryffinn-G2006,5.25
3,0,1,4,119,KOJIMAO-KR1,1.8
4,1,1,1,57,전민혁-KR1,6.5
4,0,0,4,110,Wo xing li-0405,3.2
4,0,0,5,12,동냥아치-6727,1.38
4,0,0,2,200,warangurus-KR1,0.67
4,0,0,1,77,묵묵한철거왕-KR1,2.0
4,1,1,5,53,dmk7-KR1,2.22
4,0,0,3,517,마음 만약 양지-KR1,0.6
4,1,1,2,59,좋아하다신라면-KR1,5.0
4,1,1,3,134,유발협스트레스-KR1,22
4,1,1,4,202,KOJIMAO-KR1,25.0
5,0,1,2,427,나카노 니-KR2,1.14
5,1,0,1,57,전민혁-KR1,2.5
5,1,0,4,110,졸귀뽀시-KR1,6.67
5,0,1,5,99,Asper-2000,2.4
5,0,1,1,266,갑 각 류-5238,1.75
5,0,1,4,51,코뚱잉-KR1,0.64
5,1,0,5,22,겜이 장난이냐-KR1,8.67
5,0,1,3,777,핑 잘 안보는 사람-Ping,0.88
5,1,0,3,84,saved my life-KR1,9.0
5,1,0,2,203,Gryffinn-G2006,3.4
6,1,0,2,64,빡 표-KR123,22
6,1,0,1,57,전민혁-KR1,1.17
6,0,1,5,555,heeseong-KR1,2.0
6,1,0,4,223,luck dog-KR1,4.5
6,1,0,3,245,YOUNHA-KR486,2.0
6,1,0,5,235,동냥아치-6727,10.5
6,0,1,4,110,겜이 장난이냐-KR1,0.86
6,0,1,1,77,묵묵한철거왕-KR1,1.67
6,0,1,3,126,saved my life-KR1,2.0
6,0,1,2,9,gnoeiwngonge-KR1,0.9
7,1,1,3,711,튼튼짱짱만욱-튼튼짱짱,3.4
7,1,1,1,57,전민혁-KR1,10.5
7,0,0,2,121,호양이-meaw,1.57
7,0,0,1,48,dnjstjrdl-1106,0.4
7,0,0,3,517,쿠하쿠-KR1,2.0
7,0,0,4,523,Whisperr-0604,1.27
7,1,1,4,51,L0ts00-0825,4.5
7,1,1,2,104,스물세짤이에요-KR1,8.0
7,1,1,5,43,xqingyyds-KR1,3.38
7,0,0,5,22,HAUZ 23-KR1,1.7
8,0,0,4,222,lactea420-KR1,0.5
8,1,1,1,57,전민혁-KR1,11
8,0,0,2,427,코쿠시보 데이찌-KR1,0.5
8,1,1,5,526,겜이 장난이냐-KR1,6.0
8,0,0,5,223,dmk7-KR1,1.0
8,0,0,3,126,나의본색-KR1,0.25
8,1,1,4,221,Vaundy fan-9999,5.0
8,1,1,3,39,aidorusama-KR1,12.0
8,0,0,1,897,lanpangzi-KR1,0.0
8,1,1,2,76,lql9t-KR1,13.0
9,0,0,4,145,우우리-123,1.14
9,0,0,5,111,전민혁-KR1,1.4
9,1,1,5,201,Winsome-0630,10.0
9,0,0,2,254,지 인-KOR1,1.25
9,0,0,1,516,불멸의무빙-KR1,0.83
9,1,1,1,24,Wontae1-KR1,2.5
9,1,1,3,50,히잉하지마세요-KR1,3.0
9,0,0,3,84,클리버입니다-KR1,1.25
9,1,1,4,222,zhony-14444,2.5
9,1,1,2,91,말걸지마시2발-KR1,11.0
10,1,0,1,57,전민혁-KR1,6.0
10,1,0,5,497,델리델리델리빵-KR1,15
10,1,0,4,360,130815-KR1,13
10,0,1,4,429,Fzz gege-KR1,0.0
10,0,1,2,64,바이탈-KR1,1.0
10,1,0,2,200,BRO Enosh-KR1,3.5
10,1,0,3,84,GEN G MID TEST-KR1,3.0
10,0,1,1,85,aidorusama-KR1,0.5
10,0,1,5,22,dawdawd-111,0.0
10,0,1,3,163,srysrysrysrymyb-KR1,0.6
11,0,1,2,64,coolran-KR1,0.2
11,0,1,1,57,전민혁-KR1,0.0
11,0,1,5,526,Refuge-KR1,0.4
11,1,0,4,81,지 댕 Ol-KR1,8.0
11,1,0,1,126,Clozer-KRP,8.0
11,0,1,4,429,BRO Enosh-KR1,0.29
11,0,1,3,268,말라질꺼야-KR1,0.33
11,1,0,5,43,dawdawd-111,14.0
11,1,0,2,62,learn1-KR1,8
11,1,0,3,106,곰의 신-KR1,4
12,0,1,3,18,coolran-KR1,1.67
12,1,0,2,120,이 차가 식기전에-KR1,5.5
12,1,0,1,57,전민혁-KR1,1.4
12,1,0,4,895,T1 Gumayusi-KR1,3.5
12,1,0,3,134,감정없는사람-1354,8.0
12,1,0,5,235,Clozer-KRP,6.0
12,0,1,4,202,BRO Enosh-KR1,1.67
12,0,1,5,117,카르마 룰루-KR1,1.25
12,0,1,2,876,learn1-KR1,2.5
12,0,1,1,126,xiaofangOW0-KR1,1.0
13,0,0,1,57,전민혁-KR1,1.67
13,1,1,3,4,sdawxl-KR1,4.67
13,0,0,3,18,나 경-1023,5.0
13,1,1,4,429,난화내-0713,4.0
13,1,1,1,114,질병게임1-KR1,2.5
13,0,0,2,60,Epilogue for you-KR0,4.0
13,0,0,4,22,오 뀨-KR5,3.5
13,0,0,5,497,kwise-KR1,2.33
13,1,1,5,888,zxiyuzhonghuhan-KR1,4.0
13,1,1,2,5,AND4-KR1,3.5
14,1,1,1,57,전민혁-KR1,3.0
14,1,1,3,518,하늘이펼쳐지는밤-KR1,4.0
14,0,0,2,254,벌꿀허태범-9999,1.5
14,0,0,4,110,BRO Envy-모건킹탑건,0.33
14,1,1,2,64,LSB-KRP,10.0
14,0,0,3,134,DRX kyeahoo-0813,3.0
14,0,0,1,266,따붕 람미스-KR1,0.67
14,1,1,5,235,qeqzxweqvr1212-8468,4.0
14,1,1,4,429,daoxinwengu1-KR1,10.0
14,0,0,5,888,xiayoujie-KR1,1.33
15,0,0,4,29,Sung Eun-KR1,0.6
15,1,1,1,57,전민혁-KR1,5.0
15,0,0,1,80,eeeLeee-KR1,0.71
15,1,1,2,104,hfy-KR1,11.0
15,1,1,4,360,ShadowSama-KR1,4.33
15,0,0,2,113,우리도 사랑했었-KR1,0.17
15,0,0,5,117,카르마 룰루-KR1,0.83
15,1,1,5,555,CB fan-KR1,8.0
15,0,0,3,84,GOOD GAME GG BR0-KR1,0.8
15,1,1,3,61,doi with me-KR1,14
16,1,1,3,163,coolran-KR1,16.0
16,1,1,5,412,일 편-라 코,9.0
16,0,0,4,81,카와이 뽀시-KR1,1.25
16,1,1,1,57,전민혁-KR1,14.0
16,0,0,3,517,쭌 베-KR1,1.25
16,1,1,2,91,전상득-KR1,2.4
16,1,1,4,145,September 1st-KR1,3.5
16,0,0,1,126,8 Is Enuff-KR1,6.0
16,0,0,2,203,goddic-KR1,0.75
16,0,0,5,43,What is Ego-KR1,0.56
17,1,0,1,266,아발론친추주세요-KR1,1.75
17,0,1,1,57,전민혁-KR1,2.0
17,1,0,2,30,사 용 수-KR1,6.5
17,0,1,3,84,쭌 베-KR1,5.0
17,0,1,2,141,Gen G Slayer-KR1,1.4
17,0,1,4,15,스눈이-KR2,2.2
17,1,0,3,777,절도있게-KR1,1.57
17,1,0,4,110,푸른 갈대-KR1,4.12
17,0,1,5,497,dawdawd-111,2.56
17,1,0,5,12,4ckzz-KR1,8.0
18,1,0,4,22,해실스-KR1,4.25
18,1,0,3,518,루트김-KR1,2.0
18,0,1,5,497,JanJan-KR1,3.67
18,1,0,1,57,전민혁-KR1,6.5
18,0,1,1,266,짐의 존함은 이준수-20263,0.71
18,0,1,4,110,CARFE-0319,1.33
