result_04,team_04,name_04,position_04,champion_id_04,kda_04,kill_influence_04,id,result_05,team_05,name_05,position_05,champion_id_05,kda_05,kill_influence_05,result_14,team_14,name_14,position_14,champion_id_14,kda_14,kill_influence_14,result_15,team_15,name_15,position_15,champion_id_15,kda_15,kill_influence_15
0,0,gxh3,4,145,1.0,0.12,1,0,0,Yursan20010522,5,12,1.2,0.12,1,1,suisnbuna,4,222,14.0,0.33,1,1,ntbtd3,5,902,8.0,0.33
0,0,gxh3,4,222,0.25,0.28,2,0,0,ntbtd3,5,526,3.67,0.28,1,1,신이 되는 길요,4,360,5.0,0.31,1,1,KDF Moham,5,555,17.0,0.31
1,0,gxh3,4,145,1.88,0.63,3,1,0,godeppin,5,12,1.18,0.63,0,1,Gen G samD,4,81,0.78,0.41,0,1,Rascal,5,526,4.67,0.41
1,0,gxh3,4,221,6.0,0.76,4,1,0,20chuan dou pi,5,3,4.94,0.76,0,1,추 이,4,145,1.37,0.48,0,1,kk2dd,5,497,4.0,0.48
1,0,졸귀뽀시,4,15,3.0,0.07,5,1,0,KT Way,5,40,2.5,0.07,0,1,KDF 태윤,4,236,1.27,0.44,0,1,광동귀환,5,12,5.25,0.44
0,0,gxh3,4,222,1.62,0.81,6,0,0,동냥아치,5,59,2.33,0.81,1,1,lactea420,4,51,2.5,0.39,1,1,8917,5,99,4.33,0.39
0,0,gxh3,4,145,2.09,0.79,7,0,0,thinkkk,5,53,1.36,0.79,1,1,88664073,4,222,2.2,0.65,1,1,qsadaeasdz,5,12,3.33,0.65
1,0,Zereal,4,115,4.57,0.67,8,1,0,wendian99,5,526,1.78,0.67,0,1,gxh3,4,222,2.55,0.48,0,1,Dorian3,5,412,1.82,0.48
1,0,lactea420,4,157,3.11,1.0,9,1,0,jqjin,5,111,5.5,1.0,0,1,둘째곰,4,81,2.84,0.77,0,1,wendian99,5,526,6.0,0.77
0,0,방패류만 해요,4,523,1.0,0.29,10,0,0,xxxxxm,5,526,8.0,0.29,1,1,gxh3,4,222,6.0,0.6,1,1,TraytoN,5,3,4.5,0.6
1,0,쿨탱이,4,222,5.62,0.63,11,1,0,태기베어,5,412,0.4,0.63,0,1,gxh3,4,429,0.0,0.05,0,1,실수는실력,5,555,1.25,0.05
1,0,gxh3,4,429,2.33,0.53,13,1,0,긍정적인시선,5,111,2.0,0.53,0,1,qacewdqfaa,4,145,2.0,0.44,0,1,Dorian3,5,53,3.83,0.44
0,0,ASDCTR,4,81,3.5,0.33,14,0,0,긍정적인시선,5,12,3.2,0.33,1,1,gxh3,4,15,2.11,0.49,1,1,Dorian3,5,432,1.42,0.49
0,0,gxh3,4,145,3.0,0.16,15,0,0,마음은멈춘물과같,5,526,1.0,0.16,1,1,Life ls Fast,4,895,4.33,0.57,1,1,Lotsoo,5,16,0.25,0.57
1,0,집공 방관 미포,4,21,1.0,0.39,16,1,0,Pobelter7,5,111,17.0,0.39,0,1,gxh3,4,145,1.75,0.2,0,1,Dorian3,5,526,9.0,0.2
1,0,XDXDMYBAD,4,523,9.0,0.12,17,1,0,NS 바이타루,5,412,4.33,0.12,0,1,gxh3,4,145,1.24,0.68,0,1,멘탈잡자냥2,5,53,3.0,0.68
1,0,gxh3,4,15,1.0,0.25,18,1,0,cuicuisha,5,57,1.0,0.25,0,1,창원 대학병원,4,81,6.0,0.44,0,1,키코하,5,50,2.0,0.44
0,0,창원 대학병원,4,429,1.25,0.81,19,0,0,kk2dd,5,12,1.06,0.81,1,1,gxh3,4,145,4.0,0.28,1,1,키코하,5,50,14.0,0.28
0,0,Prage3,4,145,0.67,0.17,21,0,0,f2kr,5,526,0.86,0.17,1,1,승승산성,4,81,7.0,0.39,1,1,SOODAйGKIM,5,555,20.0,0.39
1,0,zpkfmxkwa,4,81,1.14,0.33,22,1,0,godeppin,5,111,3.33,0.33,0,1,아프리카 러밀,4,145,1.14,0.36,0,1,SOODAйGKIM,5,555,1.75,0.36
1,0,Vetheo1,4,81,1.38,0.64,23,1,0,TraytoN,5,201,5.0,0.64,0,1,lyylyy1,4,119,1.14,0.41,0,1,청출어람3,5,111,2.75,0.41
1,0,Racooй,4,115,1.6,0.87,24,1,0,zxiyuzhonghuhan,5,111,4.67,0.87,0,1,XDXDMYBAD,4,222,3.67,0.41,0,1,ntbtd3,5,902,5.67,0.41
1,0,jia xiang di,4,145,3.2,0.17,25,1,0,코뚱잉,5,235,1.75,0.17,0,1,XDXDMYBAD,4,222,4.06,0.71,0,1,bountyxd,5,111,3.5,0.71
1,0,Gonan2,4,222,2.86,1.0,26,1,0,20231005,5,526,2.43,1.0,0,1,땅우양,4,51,1.25,0.44,0,1,Eren was here,5,12,2.88,0.44
1,0,아기뚱돼지,4,429,1.5,0.36,27,1,0,Eren was here,5,526,0.83,0.36,0,1,BRO A JUG,4,523,8.0,0.31,0,1,슈가하토,5,497,10.0,0.31
0,0,Bobbi Althoff,4,145,7.0,0.21,28,0,0,Harambe,5,432,3.0,0.21,1,1,Lucky WhaleShark,4,51,11.0,0.05,1,1,Dorian3,5,99,1.0,0.05
1,0,졸귀뽀시,4,145,12.33,0.4,29,1,0,Shadow Nia,5,12,0.42,0.4,0,1,Croquette,4,498,24.0,0.44,0,1,BRO DDoiV,5,111,3.2,0.44
1,0,OneZang,4,145,6.33,0.27,30,1,0,T1JaceylovEUzi신,5,497,3.17,0.27,0,1,dxyyyds,4,222,1.34,0.92,0,1,Amadeus1,5,12,4.33,0.92
1,0,난 숙제할것이요,4,360,1.67,0.49,31,1,0,긍정적인시선,5,53,0.5,0.49,0,1,qacewdqfaa,4,895,8.0,0.4,0,1,kwise,5,412,1.17,0.4
1,0,Lucky WhaleShark,4,115,6.5,0.85,32,1,0,jium,5,412,5.5,0.85,0,1,마지막 두달,4,145,3.8,0.12,0,1,T1JaceylovEUzi신,5,526,0.56,0.12
0,0,OneZang,4,51,1.43,0.75,33,0,0,gjgj,5,497,1.86,0.75,1,1,인생걸고태호시티,4,81,4.0,0.59,1,1,Harambe,5,432,1.57,0.59
1,0,인생걸고태호시티,4,222,1.75,0.24,34,1,0,1325654632168,5,12,12.0,0.24,0,1,Rin Itoshi,4,145,2.0,0.09,0,1,Juйwon,5,555,7.5,0.09
1,0,해라단디,4,222,7.86,0.43,35,1,0,모딱민,5,412,12.0,0.43,0,1,집공 방관 미포,4,21,7.5,0.39,0,1,BRO Rookies,5,497,7.0,0.39
1,0,킬러톱,4,69,0.56,0.68,36,1,0,전설이 될 남자,5,555,2.33,0.68,0,1,난 숙제할것이요,4,202,0.76,0.72,0,1,아이럽 맥도날드,5,53,8.5,0.72
1,0,xiangchu1,4,15,5.0,0.16,38,1,0,Mountain Sea,5,235,1.0,0.16,0,1,Gen G SIayer,4,145,1.75,0.6,0,1,Mla3,5,16,16.0,0.6
1,0,장미장미,4,51,1.2,0.28,39,1,0,050918,5,497,2.25,0.28,0,1,롤팡팀 원딜,4,222,3.0,0.49,0,1,grieve sea,5,3,2.0,0.49
0,0,aetcal,4,145,2.1,0.91,40,0,0,wmy,5,53,2.88,0.91,1,1,아이돌 Deft,4,119,1.2,0.47,1,1,grieve sea,5,526,2.25,0.47
1,0,xiangchu1,4,498,3.33,0.45,41,1,0,wuuf wuuf,5,497,18.0,0.45,0,1,Reoki,4,145,1.17,0.23,0,1,동냥아치,5,12,0.56,0.23
1,0,Reoki,4,145,6.5,0.19,42,1,0,cn06midkinggod,5,555,7.0,0.19,0,1,LiZhenHaoUZx04,4,202,4.67,0.68,0,1,러 러,5,518,5.0,0.68
1,0,읽씹맨,4,429,5.7,0.73,43,1,0,Miйous,5,888,1.67,0.73,0,1,Reoki,4,115,2.2,0.39,0,1,Let me sup,5,526,3.67,0.39
1,0,Co1d World,4,498,5.29,0.68,44,1,0,wmy,5,526,0.88,0.68,0,1,Reoki,4,145,2.6,0.32,0,1,I이경우,5,3,4.2,0.32
0,0,Reoki,4,145,3.75,0.23,46,0,0,먹고살게해주세요,5,526,1.43,0.23,1,1,piop5,4,236,1.74,0.88,1,1,NS 바이타루,5,12,1.6,0.88
1,0,BRO Enosh,4,523,3.25,0.31,48,1,0,G2 Smoker,5,12,5.33,0.31,0,1,G2 Zoro,4,236,4.75,0.44,0,1,Reoki,5,518,1.7,0.44
1,0,Reoki,4,145,1.25,0.57,49,1,0,드럼 기타 보컬,5,526,2.5,0.57,0,1,OIO62O54O6O,4,81,2.14,0.4,0,1,상처꽃,5,89,4.0,0.4
1,0,아이고오오오오오,4,222,2.4,0.16,50,1,0,Reoki,5,902,4.25,0.16,0,1,mi yun bu yu,4,115,6.33,0.59,0,1,QianBenYing1,5,111,5.25,0.59
0,0,xiangchu1,4,81,9.0,0.52,51,0,0,DDDRXX,5,12,12.0,0.52,1,1,Reoki,4,145,1.29,0.75,1,1,태기베어,5,518,3.5,0.75
1,0,Reoki,4,222,25.0,0.77,52,1,0,Shadow Nia,5,12,1.57,0.77,0,1,커피마시지말자,4,51,5.25,0.32,0,1,줘패놓기전에 눈 깔고다녀라,5,526,7.33,0.32
0,0,starloving,4,110,0.5,0.15,54,0,0,Rikishi,5,888,4.33,0.15,1,1,xycg,4,429,13.0,0.28,1,1,buyonegetonefre,5,111,0.83,0.28
1,0,doggo0114,4,498,6.33,0.6,55,1,0,Pizano,5,497,4.33,0.6,0,1,Reoki,4,15,2.75,0.25,0,1,우그웨이 소사부,5,432,1.33,0.25
0,0,haoyunpupu,4,29,1.0,0.76,56,0,0,qie zhan xi yi,5,111,2.73,0.76,1,1,KDF Bull,4,15,1.86,0.59,1,1,doggo0114,5,235,9.0,0.59
1,0,langmanbusi,4,81,1.62,0.73,57,1,0,Dragon God King,5,518,15.0,0.73,0,1,LiZhenHaoUZx04,4,15,3.93,0.99,0,1,yahuam1an,5,497,9.5,0.99
0,0,HLE Pyeonsik,4,18,1.75,0.19,58,0,0,마음은멈춘물과같,5,40,1.0,0.19,1,1,숨바꼭질,4,498,6.89,0.47,1,1,hyena06,5,526,0.77,0.47
1,0,HLE Pyeonsik,4,51,5.2,0.61,59,1,0,한알한알달,5,518,2.33,0.61,0,1,Reoki,4,147,1.26,0.93,0,1,IIIIlIlIlIlIlI,5,555,1.57,0.93
1,0,피그차이나,4,222,1.33,0.27,60,1,0,add astra,5,117,3.0,0.27,0,1,65b08fda7d1a,4,15,1.37,0.56,0,1,WinterLux,5,16,2.4,0.56
0,0,Mountain Sea,4,145,0.9,0.39,61,0,0,Rikishi,5,497,2.83,0.39,1,1,zxcvbnmlop,4,498,7.67,0.53,1,1,태기베어,5,111,4.0,0.53
0,0,전설이 될 남자,4,236,7.0,0.88,62,0,0,JeongHoon Lee,5,16,2.29,0.88,1,1,Like 1999,4,223,2.38,0.49,1,1,Mountain Sea,5,235,2.86,0.49
